Team,Group,Previous Appearances,Previous Titles,Previous Finals,Previous Semifinals,FIFA 2010 Ranking,FIFA.2014.Rank,Current FIFA Rank,Against,History with Opponent W-L,History with Opponent Goals
Russia,A,10,0,0,1,17,23,65,Saudi Arabia,-1,-2
Saudi Arabia,A,4,0,0,0,68,78,63,Russia,1,2
Egypt,A,2,0,0,0,9,36,31,Uruguay,-1,-2
Uruguay,A,12,2,2,5,6,6,21,Egypt,1,2
Russia,A,10,0,0,1,17,23,65,Egypt,N/A,N/A
Saudi Arabia,A,4,0,0,0,68,78,63,Uruguay,1,1
Egypt,A,2,0,0,0,9,36,31,Russia,N/A,N/A
Uruguay,A,12,2,2,5,6,6,21,Saudi Arabia,-1,-1
Russia,A,10,0,0,1,17,23,65,Uruguay,0,0
Saudi Arabia,A,4,0,0,0,68,78,63,Egypt,-5,-5
Egypt,A,2,0,0,0,9,36,31,Saudi Arabia,5,5
Uruguay,A,12,2,2,5,6,6,21,Russia,0,0
Portugal,B,6,0,0,2,8,11,3,Spain,-12,-31
Spain,B,14,1,1,2,1,8,6,Portugal,12,31
Morocco,B,4,0,0,0,82,79,40,Iran,-2,-2
Iran,B,4,0,0,0,64,49,32,Morocco,2,2
Portugal,B,6,0,0,2,8,11,3,Morocco,-1,-2
Spain,B,14,1,1,2,1,8,6,Iran,N/A,N/A
Morocco,B,4,0,0,0,82,79,40,Portugal,1,2
Iran,B,4,0,0,0,64,49,32,Spain,N/A,N/A
Portugal,B,6,0,0,2,8,11,3,Iran,2,5
Spain,B,14,1,1,2,1,8,6,Morocco,5,7
Morocco,B,4,0,0,0,82,79,40,Spain,-5,-7
Iran,B,4,0,0,0,64,49,32,Portugal,-2,-5
France,C,14,1,2,5,21,10,9,Australia,1,6
Australia,C,4,0,0,0,20,76,39,France,-1,-6
Peru,C,4,0,0,0,38,59,11,Denmark,N/A,N/A
Denmark,C,4,0,0,0,29,26,12,Peru,N/A,N/A
France,C,14,1,2,5,21,10,9,Peru,-1,-1
Australia,C,4,0,0,0,20,76,39,Denmark,-1,-3
Peru,C,4,0,0,0,38,59,11,France,1,1
Denmark,C,4,0,0,0,29,26,12,Australia,1,3
France,C,14,1,2,5,21,10,9,Denmark,4,9
Australia,C,4,0,0,0,20,76,39,Peru,N/A,N/A
Peru,C,4,0,0,0,38,59,11,Australia,N/A,N/A
Denmark,C,4,0,0,0,29,26,12,France,-4,-9
Argentina,D,16,2,5,5,5,2,4,Iceland,N/A,N/A
Iceland,D,0,0,0,0,79,47,22,Argentina,N/A,N/A
Croatia,D,4,0,0,1,15,17,17,Nigeria,N/A,N/A
Nigeria,D,5,0,0,0,30,34,50,Croatia,N/A,N/A
Argentina,D,16,2,5,5,5,2,4,Croatia,1,0
Iceland,D,0,0,0,0,79,47,22,Nigeria,1,3
Croatia,D,4,0,0,1,15,17,17,Argentina,-1,0
Nigeria,D,5,0,0,0,30,34,50,Iceland,-1,-3
Argentina,D,16,2,5,5,5,2,4,Nigeria,3,1
Iceland,D,0,0,0,0,79,47,22,Croatia,-3,-9
Croatia,D,4,0,0,1,15,17,17,Iceland,3,9
Nigeria,D,5,0,0,0,30,34,50,Argentina,-3,-1
Brazil,E,20,5,7,11,3,7,2,Switzerland,1,2
Switzerland,E,10,0,0,0,18,9,8,Brazil,-1,-2
Costarica,E,4,0,0,0,49,16,26,Serbia,N/A,N/A
Serbia,E,11,0,0,2,13,31,37,Costarica,N/A,N/A
Brazil,E,20,5,7,11,3,7,2,Costarica,8,19
Switzerland,E,10,0,0,0,18,9,8,Serbia,N/A,N/A
Costarica,E,4,0,0,0,49,16,26,Brazil,-8,-19
Serbia,E,11,0,0,2,13,31,37,Switzerland,N/A,N/A
Brazil,E,20,5,7,11,3,7,2,Serbia,1,1
Switzerland,E,10,0,0,0,18,9,8,Costarica,0,1
Costarica,E,4,0,0,0,49,16,26,Switzerland,0,-1
Serbia,E,11,0,0,2,13,31,37,Brazil,-1,-1
Germany,F,18,4,8,13,4,1,1,Mexico,4,13
Mexico,F,15,0,0,0,24,18,16,Germany,-4,-13
Sweden,F,11,0,1,4,35,29,18,Korea,1,2
Korea,F,9,0,0,1,44,147,59,Sweden,-1,-2
Germany,F,18,4,8,13,4,1,1,Sweden,2,10
Mexico,F,15,0,0,0,24,18,16,Korea,1,12
Sweden,F,11,0,1,4,35,29,18,Germany,-2,-10
Korea,F,9,0,0,1,44,147,59,Mexico,-1,-10
Germany,F,18,4,8,13,4,1,1,Korea,1,0
Mexico,F,15,0,0,0,24,18,16,Sweden,-2,-3
Sweden,F,11,0,1,4,35,29,18,Mexico,2,3
Korea,F,9,0,0,1,44,147,59,Germany,-1,0
Belgium,G,12,0,0,1,48,5,5,Panama,N/A,N/A
Panama,G,0,0,0,0,94,33,56,Belgium,N/A,N/A
Tunisia,G,4,0,0,0,65,42,27,England,-1,-2
England,G,14,1,1,2,7,20,15,Tunisia,1,2
Belgium,G,12,0,0,1,48,5,5,Tunisia,0,0
Panama,G,0,0,0,0,94,33,56,England,N/A,N/A
Tunisia,G,4,0,0,0,65,42,27,Belgium,0,0
England,G,14,1,1,2,7,20,15,Panama,N/A,N/A
Belgium,G,12,0,0,1,48,5,5,England,-17,-70
Panama,G,0,0,0,0,94,33,56,Tunisia,N/A,N/A
Tunisia,G,4,0,0,0,65,42,27,Panama,N/A,N/A
England,G,14,1,1,2,7,20,15,Belgium,17,70
Poland,H,7,0,0,2,56,61,7,Senegal,N/A,N/A
Senegal,H,1,0,0,0,91,62,23,Poland,N/A,N/A
Columbia,H,5,0,0,0,39,4,13,Japan,2,2
Japan,H,5,0,0,0,32,45,55,Columbia,-2,-2
Poland,H,7,0,0,2,56,61,7,Columbia,N/A,N/A
Senegal,H,1,0,0,0,91,62,23,Japan,2,3
Columbia,H,5,0,0,0,39,4,13,Poland,N/A,N/A
Japan,H,5,0,0,0,32,45,55,Senegal,-2,-3
Poland,H,7,0,0,2,56,61,7,Japan,2,3
Senegal,H,1,0,0,0,91,62,23,Columbia,0,0
Columbia,H,5,0,0,0,39,4,13,Senegal,0,0
Japan,H,5,0,0,0,32,45,55,Poland,-2,-3
